exp.name,ip,input,layout,description
FGFR1.1,SRR1792511,SRR1792511,SINGLE,TF
FGFR1.2,SRR1792514,SRR1792514,SINGLE,TF
FGFR1.3,SRR1792519,SRR1792519,SINGLE,TF
FOXD3.1,SRR1378743,SRR1378743,SINGLE,TF
FOXD3.2,SRR1378756,SRR1378756,SINGLE,TF
FOXD3.3,SRR1378762,SRR1378762,SINGLE,TF
GABPA.1,SRR2184519,SRR2184519,SINGLE,TF
GATA1.1,SRR1752231,SRR1752231,SINGLE,TF
GATA4.1,SRR580381,SRR580381,SINGLE,TF
GATA4.2,SRR580382,SRR580382,SINGLE,TF
GATA6.1,SRR2043315,SRR2043315,SINGLE,TF
GATA6.2,SRR2043317,SRR2043317,SINGLE,TF
H1F0.1,SRR828755,SRR828755,SINGLE,TF
H2AZ.1,SRR414935,SRR414935,SINGLE,TF
H2AZ.10,SRR627799,SRR627799,SINGLE,TF
H2AZ.11,SRR536864,SRR536864,SINGLE,TF
HCFC1.1,SRR574780,SRR574780,SINGLE,TF
HDAC1.1,SRR122465,SRR122465,SINGLE,TF
HDAC1.2,SRR122466,SRR122466,SINGLE,TF
HDAC1.3,SRR1248096,SRR1248096,SINGLE,TF
HDAC2.1,SRR122467,SRR122467,SINGLE,TF
HDAC2.2,SRR122468,SRR122468,SINGLE,TF
HEY1.1,SRR1556802,SRR1556802,SINGLE,TF
HEY1.2,SRR1556803,SRR1556803,SINGLE,TF
HIRA.1,SRR952334,SRR952334,SINGLE,TF
HIRA.2,SRR952335,SRR952335,SINGLE,TF
HIRA.3,SRR952336,SRR952336,SINGLE,TF
HIST1H1D.1,SRR828753,SRR828753,SINGLE,TF
HIST1H1D.2,SRR828754,SRR828754,SINGLE,TF
HIST1H1D.3,SRR828744,SRR828744,SINGLE,TF
HNRNPL.1,SRR1635428,SRR1635428,SINGLE,TF
HNRNPL.2,SRR1635429,SRR1635429,SINGLE,TF
HOXB4.1,SRR385644,SRR385644,SINGLE,TF
INO80.1,SRR942472,SRR942472,SINGLE,TF
JARID2.1,SRR034188,SRR034188,SINGLE,TF
JARID2.10,SRR1025578,SRR1025578,SINGLE,TF
JARID2.11,SRR1025581,SRR1025581,SINGLE,TF
JUN.1,SRR1767241,SRR1767241,SINGLE,TF
KANSL3.1,SRR1258425,SRR1258425,SINGLE,TF
KANSL3.2,SRR1258426,SRR1258426,SINGLE,TF
KAT2B.1,SRR1959369,SRR1959369,SINGLE,TF
KAT2B.2,SRR1959370,SRR1959370,SINGLE,TF
KAT2B.3,SRR1959373,SRR1959373,SINGLE,TF
KAT5.1,SRR2056996,SRR2056996,SINGLE,TF
KAT8.1,SRR486252,SRR486252,SINGLE,TF
KAT8.2,SRR486251,SRR486251,SINGLE,TF
KAT8.3,SRR1258419,SRR1258419,SINGLE,TF
KDM1A.1,SRR122469,SRR122469,SINGLE,TF
KDM1A.2,SRR122470,SRR122470,SINGLE,TF
KDM1A.3,SRR040085,SRR040085,SINGLE,TF
KDM2A.1,SRR036789,SRR036789,SINGLE,TF
KDM2A.2,SRR568017,SRR568017,SINGLE,TF
KDM2B.1,SRR496517,SRR496517,SINGLE,TF
KDM2B.10,SRR1035591,SRR1035591,SINGLE,TF
KDM2B.11,SRR1035592,SRR1035592,SINGLE,TF
KDM4B.1,SRR643523,SRR643523,SINGLE,TF
KDM4C.1,SRR643524,SRR643524,SINGLE,TF
KDM4C.2,SRR1104935,SRR1104935,SINGLE,TF
KDM4C.3,SRR1104936,SRR1104936,SINGLE,TF
KDM5A.1,SRR034191,SRR034191,SINGLE,TF
KDM5A.2,SRR171699,SRR171699,SINGLE,TF
KDM5A.3,SRR171701,SRR171701,SINGLE,TF
KDM5B.1,SRR342055,SRR342055,SINGLE,TF
KDM5B.2,SRR342056,SRR342056,SINGLE,TF
KDM5B.3,SRR1044605,SRR1044605,SINGLE,TF
KDM5C.1,SRR397778,SRR397778,SINGLE,TF
KDM5C.2,SRR398896,SRR398896,SINGLE,TF
KDM6A.1,SRR494706,SRR494706,SINGLE,TF
KDM6A.2,SRR952337,SRR952337,SINGLE,TF
KDM6A.3,SRR952338,SRR952338,SINGLE,TF
KDM6B.1,SRR952339,SRR952339,SINGLE,TF
KDM6B.2,SRR952340,SRR952340,SINGLE,TF
KLF4.2,SRR952210,SRR952210,SINGLE,TF
KLF4.3,SRR1166703,SRR1166703,SINGLE,TF
KLF4.4,SRR997308,SRR997308,SINGLE,TF
KLF5.1,SRR952211,SRR952211,SINGLE,TF
KLF5.2,SRR1166704,SRR1166704,SINGLE,TF
KMT2B.1,SRR1002920,SRR1002920,SINGLE,TF
KMT2B.2,SRR1024081,SRR1024081,SINGLE,TF
KMT2B.3,SRR1040795,SRR1040795,SINGLE,TF
LBR.1,SRR172857,SRR172857,SINGLE,TF
LUZP1.1,SRR058684,SRR058684,SINGLE,TF
MAFK.1,SRR574800,SRR574800,SINGLE,TF
MAPK8.1,SRR074396,SRR074396,SINGLE,TF
